,mobile_price,mobile_color,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,battery_power,mob_width,mob_height,mob_depth,mob_weight,brand
179,19990,1,16.21,11,9.0,8,2.0,128,8,36,10,3,4500,75.19,159.25,8.68,186.7,1
180,19990,0,16.21,11,9.0,8,2.0,128,8,36,10,3,4500,75.19,159.25,8.68,186.7,1
181,19990,3,16.21,11,9.0,8,2.0,128,8,36,10,3,4500,75.19,159.25,8.68,186.7,1
182,8990,1,15.8,3,8.1,8,2.0,32,3,15,12,3,4030,75.09,155.11,8.28,163.5,1
183,11982,0,15.8,3,8.1,8,2.0,32,3,15,12,3,4030,75.09,155.11,8.28,163.5,1
184,17990,3,16.59,11,10.0,8,2.0,128,8,14,3,3,5000,76.46,162.04,9.11,197.0,1
185,17990,0,16.59,11,10.0,8,2.0,128,8,14,3,3,5000,76.46,162.04,9.11,197.0,1
186,17990,1,16.59,11,9.0,8,2.3,128,6,18,10,3,5000,77.33,162.39,8.85,201.0,1
187,13990,1,16.59,11,9.0,8,2.3,64,4,18,10,3,5000,77.33,162.39,8.85,201.0,1
188,17990,0,16.59,11,9.0,8,2.3,128,6,18,10,3,5000,77.33,162.39,8.85,201.0,1
189,8705,0,15.8,3,8.1,8,2.0,32,2,15,12,3,4030,75.09,155.11,8.28,163.5,1
190,8949,1,15.8,3,8.1,8,2.0,32,2,15,12,3,4030,75.09,155.11,8.28,163.5,1
191,16375,1,16.59,11,9.0,8,2.0,128,4,22,3,2,5000,76.47,162.15,8.89,193.0,1
192,31990,7,16.36,12,10.0,8,2.3,256,8,36,9,3,4500,75.04,159.64,8.5,186.5,1
193,27990,7,16.36,12,10.0,8,2.3,128,8,36,9,3,4500,75.04,159.64,8.5,186.5,1
194,27990,1,16.36,12,10.0,8,2.3,128,8,36,9,3,4500,75.04,159.64,8.5,186.5,1
195,31990,1,16.36,12,10.0,8,2.3,256,8,36,9,3,4500,75.04,159.64,8.5,186.5,1
196,24990,3,16.36,12,9.0,8,2.0,128,8,36,10,2,4500,74.17,159.01,8.54,176.0,1
197,24990,1,16.36,12,9.0,8,2.0,128,8,36,10,2,4500,74.17,159.01,8.54,176.0,1
198,11990,0,16.13,4,9.0,8,2.0,64,3,13,14,3,5000,76.77,159.43,8.92,190.5,1
199,18990,0,16.21,11,9.0,8,2.0,64,6,22,10,2,4500,75.23,159.53,8.13,179.0,1
200,16990,0,16.21,11,9.0,8,2.0,128,4,22,10,2,4500,75.23,159.53,8.13,179.0,1
201,19990,0,16.21,11,9.0,8,2.0,128,6,22,10,2,4500,75.23,159.53,8.13,179.0,1
202,16990,1,16.21,11,9.0,8,2.0,128,4,22,10,2,4500,75.23,159.53,8.13,179.0,1
203,19990,1,16.21,11,9.0,8,2.0,128,6,22,10,2,4500,75.23,159.53,8.13,179.0,1
204,9199,1,15.8,3,8.1,8,2.0,16,2,15,12,3,4030,75.09,155.11,8.28,163.5,1
205,22399,0,16.23,11,9.0,8,2.0,128,6,32,10,3,3700,74.71,157.25,8.21,185.0,1
206,13990,5,16.13,4,9.0,8,2.3,128,4,11,5,3,5000,76.77,159.43,8.92,190.5,1
207,21099,2,16.23,11,9.0,8,2.0,128,6,26,10,3,3700,74.71,157.25,8.21,185.0,1
208,29499,1,16.36,12,9.0,8,2.0,128,8,29,9,2,4100,74.7,159.0,9.8,201.8,1
209,29499,3,16.36,12,9.0,8,2.0,128,8,29,9,2,4100,74.7,159.0,9.8,201.8,1
210,11490,1,16.13,4,9.0,8,2.0,64,3,13,14,3,5000,76.77,159.43,8.92,190.5,1
211,28499,0,16.23,11,9.0,8,2.0,128,8,26,10,3,3700,74.71,157.25,8.21,185.0,1
212,28990,1,16.28,11,8.1,8,1.95,64,6,5,7,3,3400,75.08,157.91,7.9,156.0,1
213,29990,1,16.74,10,8.1,8,2.8,128,8,5,14,3,4000,77.0,162.0,7.98,199.0,1
214,13990,1,15.49,3,8.1,8,2.0,32,3,15,12,3,3260,75.0,155.06,7.77,148.0,1
215,16990,1,16.0,9,8.1,8,1.8,32,4,17,3,3,3260,75.03,154.81,7.89,150.0,1
216,21099,1,16.59,11,9.0,8,2.1,64,6,6,10,3,4000,75.93,161.97,8.54,189.5,1
217,15500,1,15.8,3,8.1,8,2.0,32,4,10,14,3,4030,75.09,155.11,8.28,163.5,1
218,14990,1,15.8,3,8.1,8,2.0,64,3,10,14,3,4030,75.09,155.11,8.28,163.5,1
219,11990,0,15.8,3,8.1,8,2.0,32,2,10,14,3,4030,75.09,155.11,8.28,163.5,1
220,18900,1,14.48,1,7.1,8,1.8,32,4,23,6,3,3000,72.8,149.3,7.9,139.0,1
221,15990,0,14.48,1,7.1,8,1.8,32,4,23,6,3,3000,72.8,149.3,7.9,139.0,1
222,11999,4,15.8,3,8.1,8,2.0,32,4,15,14,3,3260,75.24,155.21,7.7,151.0,1
223,24000,4,16.0,9,8.1,8,2.2,64,4,20,6,3,3260,75.03,154.81,7.89,150.0,1
224,8900,1,15.24,1,8.1,4,1.4,16,2,48,12,3,3360,75.74,155.87,7.8,150.0,1
225,15990,5,15.8,3,8.1,8,2.0,32,4,10,14,3,4030,75.09,155.11,8.28,163.5,1
226,10990,0,16.13,4,9.0,8,2.0,32,3,13,14,3,5000,76.77,159.43,8.92,190.5,1
227,14990,1,16.59,11,9.0,8,2.3,64,6,18,10,3,5000,77.33,162.39,8.85,201.0,1
228,13990,0,16.59,11,9.0,8,2.3,64,4,18,10,3,5000,77.33,162.39,8.85,201.0,1
229,14990,0,16.59,11,9.0,8,2.3,64,6,18,10,3,5000,77.33,162.39,8.85,201.0,1
230,12990,0,16.13,4,9.0,8,2.0,64,4,13,14,3,5000,76.77,159.43,8.92,190.5,1
231,12990,1,16.13,4,9.0,8,2.0,64,4,13,14,3,5000,76.77,159.43,8.92,190.5,1
232,17990,1,16.0,9,8.1,8,1.95,64,4,10,3,3,3260,75.03,154.81,7.89,150.0,1
233,17990,5,16.0,9,8.1,8,1.95,64,4,10,3,3,3260,75.03,154.81,7.89,150.0,1
234,11500,4,15.49,3,8.1,8,2.0,32,3,15,12,3,3260,75.0,155.06,7.77,148.0,1
235,17999,4,16.0,9,8.1,8,1.8,32,4,17,3,3,3260,75.03,154.81,7.89,150.0,1
236,9990,1,15.8,3,8.1,8,2.0,32,3,10,14,3,4030,75.09,155.11,8.28,163.5,1
237,10900,4,15.24,1,8.1,4,1.4,16,3,15,12,3,3360,75.74,155.87,7.8,150.0,1
238,12000,1,15.24,1,8.1,4,1.4,32,4,15,12,3,3360,75.74,155.87,7.8,150.0,1
239,22325,0,15.21,1,7.1,8,1.8,64,4,23,6,3,3225,75.74,155.87,7.7,160.0,1
240,13995,1,13.21,0,6.0,4,1.4,16,3,15,12,3,2730,72.9,149.9,7.5,142.0,1
241,13529,7,13.21,0,6.0,4,1.4,16,3,15,12,3,2730,72.9,149.9,7.5,142.0,1
242,11990,4,15.8,3,8.1,4,2.0,16,2,15,12,3,3260,75.0,155.06,7.77,143.0,1
